A Face in the Dross			1200							1750	2600				980		6530	1
A Taste of Autumn			300		575		875	245	620	435					520		3570	2
A Taste of The New World					450			260	400	360	500		230				2200	3
Abandoned Cobweb		450			550		450	350						950	725		3475	1
Acorn Indian		250		550	800	450	700		450				800				4000	1
Aged Driftwood		1200			600	900			500		600	700			250		4750	1
Animal Canine			2500			2500		4250									9250	7
Animal Crackers					1450			975			1800		2750				6975	3
Antlers of Furfur			1975			1850		5100								1750	10675	1
Argopelter Beak			1800					3200								1200	6200	1
Argopelter Liver			1350					3250					2150				6750	3
Ashes of Maudney				5000													5000	25
Aspen Masque					1000			1250				750		1250			4250	1
Bar of Bubbly Soap		2275		2000			2800		1400				500			1200	10175	1
Bar of Rose Scented Soap				2200			2800		2600				500			3200	11300	1
Baby Squid			3900	3100					2850								9850	1
Bat Fang			40		240			320		490						10	1100	1
Beaming-Proud Sunflower				1750					1200		2800	3190	1700		750	300	11690	1
Beautiful Seashell				575	400		950	600	750				750		900		4925	1
Beaver Tail						1200		1850					900	400	550		4900	2
Beetle							825				750		1200		1350	75	4200	1
Berrysauce Boat									1425		750		2650			475	5300	5
Bezoar Stone													3000		5000	1850	9850	7
Big Autumn Masque				1500								1250	1500	1250			5500	1
Birchbark Origami		1750				1500	2000		1750					1500			8500	3
Black Pearl		2650	2400							3550						2100	10700	5
Black Sand		50								650	285				170	275	1430	1
Blacksmith's Goggles			850						970	2100	2700						6620	1
Blindfold		600		2550					1350					1150		150	5800	3
Blood Shard			666														666	6
Bone Necklace								5000									5000	25
Boomstick			125	220							480	190			170	45	1230	1
Brain			450	200				525				150			750	175	2250	1
Brick of Fallen Babel		750		750		1200			1000	1250	900						5850	1
Brick of Fallen Jericho		2500	1000			2000					2000					500	8000	1
Brick of Fallen Sodom & Gomorrah			2000			2000				2000	4500	1500				1000	13000	1
Brilliant Honey-Dew					2500		2500						4250				9250	7
Broken Bough		250		150	375	275	200	255	180	100	215	160	210	185	235		2790	1
Bug in a Blanket					915									1400		175	2490	1
Bunny Darko			1250	1500	2000				2000		1500					500	8750	1
Bunny Masque		750	750	1500									1500			250	4750	1
Cactus Cat		200	220		650			540		410	470	610					3100	3
Captivating Flame				200	350				400		550				75	35	1610	3
Carelessly Burnt Cookie			1000										2500			1000	4500	1
Carpenter's Square						5000											5000	25
Caterpillar in a Jar					2325				885				1450		1450		6110	4
Clawed Talon					2750			3050								1150	6950	10
Closed Beta Diploma																2500	2500	1
Cloud of Lather				1500					2275		700						4475	1
Clover				450	330				300			250	320				1650	1
Coffin Plank		2000	550	1250		1250	750					750					6550	1
Coin Collection							1240		2400		1820	1100					6560	5
Colored Marbles		1275				500				900	300	800		500			4275	3
Colorful Autumn Leaf					2500		2500								4250		9250	7
Concordat of Worms			900	1550					1300			2000		1200			6950	3
Connecticut Field Masque				1750			1200		1750			1200		1250			7150	1
Cork Gun		200	500					200									900	15
Cougar Claw			40		900			2850			1380			1420			6590	1
Creepy Centipede			2100								2750				3350	1175	9375	2
Cricket Team			750		1200		1750	2600							200		6500	3
Cricket Violin		2975			1500			2350						400	4500	300	12025	1
Cross-Shaped Wood Splinter				1400		1250		150	950							700	4450	1
Crow Feather			225		310			425				625				185	1770	1
Crown of Thorns				1750		2500			1200			800		2000		350	8600	1
Curious Cabbage							1050					2400	550		750		4750	1
Curious Indian Corn									1950		1100	2500			375		5925	2
Curious Potato								650		950		2200	1150				4950	1
Davy Jones' Locker			750	2000		3000	2500					1500				750	10500	5
Dead Rat			500		700			900								200	2300	1
Dead Wartbite Cricket					700		500	900							200		2300	1
Decomposed Bird Skeleton			800		1300							950	825				3875	1
Decorative Woodcarving		620		240		1280		350				500	500				3490	2
Deer Antlers		450				850		2100	575						1750		5725	1
Deer Hoof			675		1400	850		2250	620						1750		7545	1
Deer Tick			710					485							830	340	2365	1
Dehydrated Rose				150									1500			1500	3150	1
Delphic Bee					1680		950		1100				950				4680	1
Devil's Wort			95	850			1025					785			850	45	3650	1
Dried Long Ear			250		950		970	750						800	200		3920	1
Eagle Feather			425		510			725	1225								2885	1
Earthworm Python			750		780							1200		900	850		4480	1
English Battleflag		750	2000	1250					1000					2500			7500	4
Enlarged Bear Heart			1250					2625					1650			575	6100	3
Etterfang			250		600		600	500					1500		500		3950	1
Fickle Frozen Frost Flower			180		450							650	230			125	1635	1
Fine Beaver Teeth			550				1075	1550	900					800	500		5375	2
Fish Skeleton			35	75	250					125		90				10	585	1
Fishing Trophy		1250			1000		1850	1000					1700		1000		7800	6
Five Nations' Dreamcatcher		1600		1250					1800			1000		1500		750	7900	1
Flame Azalea							1300				915	680	530	690			4115	1
Flower Arrangement		1245					2575					1475	1620		885		7800	3
Foetid Ooze			2150					4500					2000	2800	2050		13500	1
Forked Tongue					370			800					620			750	2540	1
Four-leaf Clover				3000			3000										6000	13
French Fry		225	1								200		325		385		1136	3
Fungus Amungus			350		625		410				565					125	2075	4
Funny Foam					1250		900	1750				1100			1350		6350	1
Game Board			1000			4500			1500						1500	1000	9500	6
Garden Gnome							5000										5000	25
Garlic Braid		400									800	750	1400	450	300		4100	1
Gelatinous Lard							750				1300		1750				3800	1
Gem Shard		375								925	680				485		2465	2
Ghost in the Grain			1200			3100				1750						980	7030	1
Ghost Rider				1800			2150					2000	1850		1350	450	9600	1
Ghost Rider Masque			1500					2500						1750	1750		7500	1
Giant Willow Aphid							2500					4250	2500				9250	7
Gingerbread Man Arms							1250				1300		1650				4200	2
Gingerbread Man Head			850								1100		1650				3600	1
Gingerbread Man Torso											900	950	1650				3500	3
Grass Whistle		250		250	300			450	350			175	300	200			2275	3
Green Man's Leavings					650		510		300		370		630		435		2895	1
Greenman's Masque		2000			1200		725									250	4175	3
Hand Turkey		800	200		925			1200	885								4010	2
High Notes of Amber Resin						350	3600							625	2800		7375	1
Hornet Nest					3000				3000								6000	10
Horribly Rotten Walnut			2500				3700				800					1900	8900	2
Horseshoe Crab			315		400				715				625		925		2980	1
Hunting Trophy		950	1000		1200	950		2650									6750	6
Ingot Mold											5000						5000	25
Iris Prismatica							1195				640	690	630	895			4050	1
Iron Pyrite										250000							250000	1
Iä! Iä! Rlyeh Fhtang!			2525	2525											2525	1755	9330	1
Jack-o-Lantern							1350				1300	1500	1750		1150		7050	1
Jackalope Antlers					800		750	900				350	750				3550	1
John Barleycorn		853	1104				903		1204		1706	2008		1605			9383	1
Knotted Wood Block			125			700			200		550				100		1675	1
Ladle													5000				5000	25
Lady's Slipper						610	1100	720	785	650							3865	1
Lamb of Tartary					1900		675					2300		3400			8275	2
Last Wish-Bone			1500	2500			3000						2000				9000	1
Lava Rock										5000							5000	25
Leader's Locket		2450	2050							1850	3900					800	11050	4
Leafy Leftovers		160			650		310		300		270			230			1920	3
Les Fleurs du Mal			750		900			2100				1100	1600				6450	5
Little Jack Horner's Thumbnail			2425										3250		750	1475	7900	1
Liverwort						2500	4250					2500					9250	7
Lover's Locket		2200	1250	1500						1100	1500		1050			600	9200	4
Loyalist's Locket		2300	1650	1800						1710	2700					700	10860	4
Lughnasadh Masque		2000										1000		1250		500	4750	3
Lumberwood Bonsai				1500	1000		1500	1000				1000			1500		7500	8
Lumberwood Figurine		340	190	340	275	640			350								2135	2
Mabon Masque		2000		1200				1350								500	5050	3
Majestic Tail-Feather of Turkey				1500	2000							950	1200	1750			7400	1
Malevolent Pillow		4000	1500											4000		2500	12000	3
Maple Mustache Masque		150	50		200			200	130		75			200			1005	1
Mayapple		630		550			1425					910			670		4185	1
Meat Shreds			15		150			250			130		50				595	1
Medusa Head Jellyfish			1500	2400								2300			1500	650	8350	1
Mermaid's Purse		730						880	1270					925			3805	1
Mineralogical Survey				800	800					1750	1200		1200		900		6650	1
Misshapen Lump of Clay		450		850		750				950	1200				1250		5450	1
Monogrammed Pillow			1500	2500								1500		4000		750	10250	3
Music Box		200		500												200	900	15
Nesting Doll		200							200						500		900	15
New World Gourd												3000	3000				6000	10
Nine Men's Morris		750	250	650		1250				850		450					4200	4
Oak Duff							200		185		175	135					695	1
Oakum			1350			650			1600						800	350	4750	3
Opera Masque		1200	850	750					550					1200			4550	1
Oyster Shell				575	400		950	600	750				750		900		4925	1
Painted Feathers		1250	2200	800												1200	5450	4
Partially Deformed Caterpillar			160		420					220				310		80	1190	1
Pearl		1350		1650					1200						2100		6300	5
Pectin Prison		265					415		1650		1310		1400				5040	1
Perfect Autumn Leaf				900	650			550	850				950		750		4650	1
Petite Petal					250		150	75				130		50			655	1
Petrified Wood		2500				2500				4250							9250	7
Peyote Cactus			125					625				375	625		450		2200	1
Phantom Masque		1600	1050						2550					1950			7150	3
Pilgrim's Bible			1250	2500					1800		1500	1500				850	9400	5
Porcupine Spines			1950		2625				610		2145						7330	1
Precious Soot-Flake						400			750	1250	2000				850		5250	1
Precise Measuring Tape														5000			5000	25
Rainbow Scales					1350		1250				550		850	475	250		4725	4
Rainbow Soap Bubble				2300							3275					1200	6775	1
Rat Team			750					1700			1750				200	2700	7100	3
Rattle Rattler				800	1200			1200				600		1200			5000	1
